City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Svetlogorsk,BY,52.6333,29.7333,58.01,91,83,5.82,broken clouds
294,Chicama,PE,-7.8447,-79.1469,66.74,66,99,10.8,overcast clouds
295,Kande,TG,9.9578,1.0447,82.83,62,99,13.2,light rain
296,Golden,US,39.7555,-105.2211,89.78,24,75,1.99,broken clouds
297,Olinda,BR,-8.0089,-34.8553,76.73,73,75,12.21,broken clouds
298,Mizan Teferi,ET,6.9833,35.5833,61.03,95,48,2.98,scattered clouds
299,Kysyl-Syr,RU,63.8986,122.7617,49.03,83,100,8.28,light rain
300,Beira,MZ,-19.8436,34.8389,67.82,82,24,12.17,light rain
301,Aden,YE,12.7794,45.0367,90.93,55,1,8.81,clear sky
302,Turukhansk,RU,65.8167,87.9833,30.94,92,87,5.55,overcast clouds
303,Birao,CF,10.2849,22.7882,82.54,54,85,3.4,overcast clouds
304,Dunmore Town,BS,25.5,-76.65,79.61,79,87,15.97,overcast clouds
305,Rila,BG,42.1333,23.1333,64.63,96,99,4.76,overcast clouds
306,Saryg-Sep,RU,51.5,95.6,37.33,94,100,2.8,overcast clouds
307,Bachaquero,VE,9.9694,-71.1494,81.18,75,100,6.08,overcast clouds
308,Kabansk,RU,52.0486,106.6528,46.89,93,100,6.64,overcast clouds
309,Jojoima,SL,7.8792,-10.7878,79.12,85,93,3.38,overcast clouds
310,Sobolevo,RU,54.4299,31.8996,57.65,88,46,5.77,moderate rain
311,Arlit,NE,18.7369,7.3853,99.48,10,46,14.99,scattered clouds
312,Pingshan,CN,22.9938,114.7131,75.02,92,0,3.78,clear sky
313,Winneba,GH,5.3511,-0.6231,80.6,81,61,12.01,light rain
314,Alofi,NU,-19.0595,-169.9187,76.35,59,56,12.01,broken clouds
315,Bay Roberts,CA,47.5999,-53.2648,48.04,91,100,11.01,overcast clouds
316,Kahului,US,20.8947,-156.47,82.42,67,20,17.27,few clouds
317,Funadhoo,MV,6.15,73.2667,82.09,79,100,14.85,overcast clouds
318,Tatawin,TN,32.9297,10.4518,83.71,25,65,8.46,broken clouds
319,Kedgwick,CA,47.6446,-67.3434,72.16,45,100,6.85,overcast clouds
320,Leningradskiy,RU,69.3833,178.4167,36.68,89,21,11.39,few clouds
321,Leh,IN,34.1667,77.5833,51.93,28,0,6.33,clear sky
322,Hervey Bay,AU,-25.2986,152.8535,56.03,85,1,3.0,clear sky
323,Picota,PE,-6.9197,-76.3304,77.49,72,100,2.13,overcast clouds
324,Kavieng,PG,-2.5744,150.7967,81.48,77,89,7.61,overcast clouds
325,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,81,100,14.81,overcast clouds
326,Norman Wells,CA,65.282,-126.8329,50.04,76,90,10.36,light rain
327,Hokitika,NZ,-42.7167,170.9667,54.61,88,100,5.64,moderate rain
328,Corsicana,US,32.0954,-96.4689,86.76,63,40,8.01,scattered clouds
329,Azul,AR,-36.777,-59.8585,52.38,52,100,6.76,overcast clouds
330,Hovin,NO,63.1055,10.225,58.33,96,100,1.66,light rain
331,Lagoa,PT,39.05,-27.9833,64.13,90,100,12.53,overcast clouds
332,Half Moon Bay,US,37.4636,-122.4286,81.88,63,1,5.75,haze
333,Guadalupe Victoria,MX,32.2869,-115.105,99.57,19,0,4.29,clear sky
334,San Quintin,MX,30.4833,-115.95,66.51,61,12,12.1,few clouds
335,Zyryanskoye,RU,56.8306,86.6258,55.58,94,100,10.18,light rain
336,Eloy,US,32.7559,-111.5548,103.78,10,0,11.45,clear sky
337,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,41,1,14.97,clear sky
338,Waipawa,NZ,-41.4122,175.5153,52.45,89,100,1.5,overcast clouds
339,Banda Aceh,ID,5.5577,95.3222,79.93,76,100,13.56,overcast clouds
340,Sao Filipe,CV,14.8961,-24.4956,76.48,66,7,9.04,clear sky
341,Mackenzie,CA,55.2999,-123.1698,55.62,50,1,10.36,clear sky
342,Yambio,SS,4.5721,28.3955,69.69,96,100,4.74,overcast clouds
343,Mabaruma,GY,8.2,-59.7833,83.79,69,54,7.76,broken clouds
344,Yerevan,AM,40.1811,44.5136,68.16,32,0,5.37,clear sky
345,Cockburn Town,TC,21.4612,-71.1419,80.1,80,6,21.61,clear sky
