City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Qui Nhon,VN,6/6/2021 11:42,13.7667,109.2333,84.6,77,100,6.67
135,Mwanza,TZ,6/6/2021 11:45,-2.5167,32.9,84.25,39,40,12.66
136,Kuching,MY,6/6/2021 11:45,1.55,110.3333,75.42,100,40,1.14
137,Cheyenne,US,6/6/2021 11:47,41.14,-104.8203,67.77,41,1,16.11
138,Petropavlovsk-Kamchatskiy,RU,6/6/2021 11:45,53.0452,158.6483,41.59,100,90,2.37
139,Beringovskiy,RU,6/6/2021 11:45,63.05,179.3167,34.57,98,81,4.99
140,Husavik,IS,6/6/2021 11:47,66.0449,-17.3389,60.71,51,67,14.12
141,Port Alfred,ZA,6/6/2021 11:42,-33.5906,26.891,75.63,27,0,6.91
142,Nefteyugansk,RU,6/6/2021 11:47,61.0998,72.6035,59.25,72,99,12.26
143,Lake City,US,6/6/2021 11:47,30.1897,-82.6393,74.98,94,1,5.75
144,Leningradskiy,RU,6/6/2021 11:43,69.3833,178.4167,34.07,97,100,11.16
145,Nurota,UZ,6/6/2021 11:47,40.5614,65.6886,107.69,8,16,18.3
146,Tete,MZ,6/6/2021 11:47,-16.1564,33.5867,78.89,39,40,14
147,Rio Grande,BR,6/6/2021 11:40,-32.035,-52.0986,53.94,79,100,10.4
148,Rassvet,RU,6/6/2021 11:47,46.8333,40.75,70.59,76,58,4.47
149,Asau,RO,6/6/2021 11:43,46.4333,26.4,69.28,69,71,3.53
150,Sao Joao Da Barra,BR,6/6/2021 11:44,-21.6403,-41.0511,73.49,79,2,10.29
151,Kodiak,US,6/6/2021 11:42,57.79,-152.4072,51.31,54,1,9.22
152,Port Elizabeth,ZA,6/6/2021 11:42,-33.918,25.5701,79.11,14,0,12.66
153,Colac,AU,6/6/2021 11:47,-38.3333,143.5833,55.83,80,100,8.75
154,Shelburne,CA,6/6/2021 11:45,44.0787,-80.2041,71.85,56,64,13.27
155,Bluff,NZ,6/6/2021 11:42,-46.6,168.3333,49.8,80,94,1.99
156,Eyl,SO,6/6/2021 11:47,7.9803,49.8164,94.42,41,2,22.62
157,Barrow,US,6/6/2021 11:40,71.2906,-156.7887,32.02,86,90,11.5
158,Vardo,NO,6/6/2021 11:47,70.3705,31.1107,42.78,65,75,16.11
159,Kuytun,RU,6/6/2021 11:47,54.3419,101.5036,52.68,70,100,7.81
160,Thompson,CA,6/6/2021 11:42,55.7435,-97.8558,50.16,100,90,4.61
